"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
82/24,"Polish Barrels Spółka z ograniczoną odpowiedzialnością",87-730,Nieszawa,"ul. Ciechocińska 37","WOJ. KUJAWSKO-POMORSKIE",2025-03-03
83/24,"DOM WINA  Prosta Spółka Akcyjna",30-198,KRAKÓW,"ul. Balicka 255 ","WOJ. MAŁOPOLSKIE",2025-03-31
84/24,"GURLEX  GROUP  PL   Spółka z ograniczoną odpowiedzialnością",30-444,Libertów,"ul. Bartnicka 35 ","WOJ. MAŁOPOLSKIE",2025-03-28
85/24,"ANPAH JANIAK  Spółka Komandytowa",62-800,Kalisz,"ul. Piwonicka 1 C","WOJ. WIELKOPOLSKIE",2025-03-29
86/24,"""NEPTUN"" Ship Service LTD.   Spółka  z ograniczoną odpowiedzialnością",81-334,Gdynia,"ul. Polska 43","WOJ. POMORSKIE",2025-04-06
87/24,"Hurtownia Wódki Góralskie WS & WG  Szymon Karabuła",34-500,Zakopane,"ul. Jana Kasprowicza 1","WOJ. MAŁOPOLSKIE",2025-03-04
88/24,"Przedsiębiorstwo Handlu Zagranicznego   ""BALTONA""   Spółka Akcyjna",02-146,Warszawa,"ul. Komitetu Obrony Robotników 49","WOJ. MAZOWIECKIE",2025-03-10
89/24,"Firma Galon Spółka z ograniczoną odpowiedzialnością",44-304,"Wodzisław Śląski","ul. Mszańska 4 C ","WOJ. ŚLĄSKIE",2025-03-23
90/24,"JNT GROUP  Spółka Akcyjna Spółka Komandytowa",95-082,Dobroń,"ul. Sienkiewicza 68","WOJ. ŁÓDZKIE",2025-05-11
91/24,"""GRZEŚ"" W. SZYMCZAK  Spółka komandytowa",56-500,Syców,"ul. Kaliska 7 ","WOJ. DOLNOŚLĄSKIE",2025-04-02
92/24,"""BEVGROUP""  Spółka z ograniczoną odpowiedzialnością",05-270,Marki,"ul. Okólna 45","WOJ. MAZOWIECKIE",2025-04-04
93/24,"                     P.P.H.U. MARUSARZ Andrzej Marusarz",34-424,"Bańska Niżna","ul. Papieska 114","WOJ. MAŁOPOLSKIE",2025-03-31
94/24,"Polska Fabryka Wódek Old Distillery  Spółka z ograniczoną odpowiedzialnością",61-464,Poznań,"ul. Chmielna 8 lok. 1 ","WOJ. WIELKOPOLSKIE",2025-03-24
95/24,"Renata Wrzesińska  MEGA-WAR",05-660,Warka,"ul. Puławska 36","WOJ. MAZOWIECKIE",2025-03-31
96/24,"MARSZAND X Spółka z ograniczoną odpowiedzialnością",00-477,Warszawa,"ul. Piękna 1A","WOJ. MAZOWIECKIE",2025-03-31
97/24,"PRYZMAT Walery Sulewski, Mirosław Sulewski Spółka komandytowa",22-500,Hrubieszów,"ul. Nowa 106A","WOJ. LUBELSKIE",2025-03-19
98/24,"Alfreda Perczak PPHU ""Pol-Trans-Catering"" Export-Import",42-460,Mierzęcice,"Osiedle nr 166","WOJ. ŚLĄSKIE",2025-03-28
